GATEWAYID,SIP REQUEST,OWNER,Type,OPERATOR,,IP,Position,Conso Max
3544,SIP/41.204.96.185/933435440 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.105,4,
3545,SIP/41.204.96.185/933435450 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.105,5,
3546,SIP/41.204.96.185/933435460 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.105,6,
3547,SIP/41.204.96.185/933435470 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.105,7,
3548,SIP/41.204.96.185/933435480 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.105,8,
3811,SIP/41.204.102.228/933438110 ,TINA,SIMBOX,AIRTEL,GOIP11,192.168.0.11,1,
3812,SIP/41.204.102.228/933438120 ,TINA,SIMBOX,AIRTEL,GOIP11,192.168.0.11,2,
3813,SIP/41.204.102.228/933438130 ,TINA,SIMBOX,AIRTEL,GOIP11,192.168.0.11,3,
3814,SIP/41.204.102.228/933438140 ,TINA,SIMBOX,AIRTEL,GOIP11,192.168.0.11,4,
3815,SIP/41.204.102.228/933438150 ,TINA,SIMBOX,AIRTEL,GOIP11,192.168.0.11,5,
3816,SIP/41.204.102.228/933438160 ,TINA,SIMBOX,AIRTEL,GOIP11,192.168.0.11,6,
3817,SIP/41.204.102.228/933438170 ,TINA,SIMBOX,AIRTEL,GOIP11,192.168.0.11,7,
3818,SIP/41.204.102.228/933438180 ,TINA,SIMBOX,AIRTEL,GOIP11,192.168.0.11,8,
4001,SIP/41.204.96.185/933440010 ,T2 HAINGO,T2,TELMA,NA,NA,NA,
4002,SIP/41.204.102.206/933440020 ,T2 HOTEL JOURNEES,T2,TELMA,NA,NA,NA,
4003,SIP/41.204.102.228/933440030 ,T2 TINA,T2,TELMA,NA,NA,NA,
5002,SIP/41.204.102.206/933450020 ,T2 HOTEL SOIRS/WE,T2,TELMA,NA,NA,NA,
2921,SIP/193.253.115.65/933429210 ,DIM,SIMBOX,ORANGE,GOIP20,192.168.0.15,1,
2922,SIP/193.253.115.65/933429220 ,DIM,SIMBOX,ORANGE,GOIP20,192.168.0.15,2,
2923,SIP/193.253.115.65/933429230 ,DIM,SIMBOX,ORANGE,GOIP20,192.168.0.15,3,
2924,SIP/193.253.115.65/933429240 ,DIM,SIMBOX,ORANGE,GOIP20,192.168.0.15,4,
2925,SIP/193.253.115.65/933429250 ,DIM,SIMBOX,ORANGE,GOIP20,192.168.0.15,5,
2926,SIP/193.253.115.65/933429260 ,DIM,SIMBOX,ORANGE,GOIP20,192.168.0.15,6,
2927,SIP/193.253.115.65/933429270 ,DIM,SIMBOX,ORANGE,GOIP20,192.168.0.15,7,
2928,SIP/193.253.115.65/933429280 ,DIM,SIMBOX,ORANGE,GOIP20,192.168.0.15,8,
2929,SIP/193.253.115.65/933429290 ,DIM,SIMBOX,ORANGE,GOIP20,192.168.0.15,9,
2930,SIP/193.253.115.65/933429300 ,DIM,SIMBOX,ORANGE,GOIP30,192.168.0.15,10,
2931,SIP/193.253.115.65/933429310 ,DIM,SIMBOX,ORANGE,GOIP30,192.168.0.15,11,
2932,SIP/193.253.115.65/933429320 ,DIM,SIMBOX,ORANGE,GOIP30,192.168.0.15,12,
2933,SIP/193.253.115.65/933429330 ,DIM,SIMBOX,ORANGE,GOIP30,192.168.0.15,13,
2934,SIP/193.253.115.65/933429340 ,DIM,SIMBOX,ORANGE,GOIP30,192.168.0.15,14,
2935,SIP/193.253.115.65/933429350 ,DIM,SIMBOX,ORANGE,GOIP30,192.168.0.15,15,
2936,SIP/193.253.115.65/933429360 ,DIM,SIMBOX,ORANGE,GOIP30,192.168.0.15,16,
2937,SIP/193.253.115.65/933429370 ,DIM,SIMBOX,ORANGE,GOIP30,192.168.0.15,17,
